"Id";"RoleTypeName";"PageId";"CanRead";"CanWrite";"CanCreate";"CanDelete";"CanImport";"CanExport";"CreatedAt"
"174";"user";"602010";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"175";"user";"603010";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"176";"user";"701010";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"177";"user";"801010";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"178";"user";"801020";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"179";"user";"801030";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"180";"user";"801040";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"181";"user";"802010";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"182";"user";"802020";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"183";"user";"802030";"0";"0";"0";"0";"0";"0";"2026-04-24 17:22:11.860078"
"187";"super_admin";"201040";"1";"1";"1";"1";"1";"1";"2026-05-07 01:27:38.299457"
"190";"super_admin";"402010";"1";"1";"1";"1";"1";"1";"2026-05-07 01:55:26.151769"
"191";"super_admin";"402020";"1";"1";"1";"1";"1";"1";"2026-05-07 01:55:26.151769"
